Id,m1,m2,m3
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,us-west-1:AWS/ECS ClusterName:steakneggs ServiceName:steakneggs CPUUtilization Minimum 60,us-west-1:AWS/ECS ClusterName:steakneggs ServiceName:steakneggs CPUUtilization Maximum 60,us-west-1:AWS/ECS ClusterName:steakneggs ServiceName:steakneggs CPUUtilization Average 60
Label,CPUUtilization Minimum,CPUUtilization Maximum,CPUUtilization Average
2026/08/28 18:00:00,0.19280044734477997,0.5498226284980774,0.31331423421700794
2026/08/28 18:01:00,0.3535434305667877,42.01161193847656,27.1673524081707
2026/08/28 18:02:00,32.74610900878906,34.2000846862793,33.23808797200521
2026/08/28 18:03:00,37.505218505859375,83.17924499511719,62.745015462239586
2026/08/28 18:04:00,79.86998748779297,83.10560607910156,81.91201782226562
2026/08/28 18:05:00,83.0048828125,84.65422058105469,83.66660817464192
2026/08/28 18:06:00,84.96833038330078,87.21183013916016,85.92235565185547
2026/08/28 18:07:00,85.58533477783203,89.79749298095703,87.74697621663411
2026/08/28 18:08:00,99.47746276855469,99.98702239990234,99.68548329671223
2026/08/28 18:09:00,99.81307220458984,100,99.93769073486328
2026/08/28 18:10:00,99.91751098632812,100,99.95792134602864
2026/08/28 18:11:00,99.79385375976562,99.97769165039062,99.89902750651042
2026/08/28 18:12:00,99.89644622802734,100,99.95340728759766
2026/08/28 18:13:00,99.80787658691406,99.90238952636719,99.86470540364583
2026/08/28 18:14:00,99.9464340209961,100,99.98214467366536
2026/08/28 18:15:00,99.73011016845703,100,99.91003672281902
2026/08/28 18:16:00,99.8883056640625,99.91552734375,99.90602111816406
2026/08/28 18:17:00,99.75519561767578,99.85780334472656,99.80135854085286
2026/08/28 18:18:00,99.70828247070312,99.81880950927734,99.78127034505208
2026/08/28 18:19:00,99.8543701171875,99.94400024414062,99.89066823323567
2026/08/28 18:20:00,99.76708984375,99.89877319335938,99.84842681884766
2026/08/28 18:21:00,90.20943450927734,99.79706573486328,94.4115702311198
2026/08/28 18:22:00,89.4092788696289,92.601806640625,90.74627431233723
2026/08/28 18:23:00,91.51427459716797,92.39358520507812,91.99358367919922
2026/08/28 18:24:00,0.18522849678993225,91.5240707397461,33.99643330772718
2026/08/28 18:25:00,0.1847141683101654,0.29462409019470215,0.23032256464163461
2026/08/28 18:26:00,0.19505590200424194,0.3972860276699066,0.3049084146817525
2026/08/28 18:27:00,0.18048334121704102,0.2977152466773987,0.22601447999477386
2026/08/28 18:28:00,0.1800631433725357,14.269729614257812,4.920797362923622
2026/08/28 18:29:00,0.1951836347579956,0.3528931140899658,0.26309309899806976
2026/08/28 18:30:00,0.16290201246738434,2.16513729095459,0.8732431977987289
